Session,Cluster,Note 1 midi,Note 1 name,Note 1 encoding,Note 2 midi,Note 2 encoding,Note 2 encoding
2,85,68,G# Without octave key (default),0010111000000_0000000000,87,High Eb,1000000000011_0000000000
2,111,64,E Without octave key,0010110000000_1100000000,82,Bb With octave key (Bis key),1011100000000_0000000000
2,53,70,Bb Without octave key (side key),0010100000000_0000000000,84,C With octave key,1000100000000_0000000000
2,85,67,G Without octave key,0010110000000_0000000000,86,High D,1000000000001_0000000000
2,123,78,F# With octave key (main),1010110000000_0100000000,82,Bb With octave key (Bis key),1011100000000_0000000000
2,49,60,Low C,0010110000000_1100101000,85,C# With octave key,1000000000000_0000000000
2,85,67,G Without octave key,0010110000000_0000000000,87,High Eb,1000000000011_0000000000
2,49,59,Low B,0010110010000_1100101000,85,C# With octave key,1000000000000_0000000000
2,53,71,B Without octave key,0010000000000_0000000000,85,C# With octave key,1000000000000_0000000000
2,73,58,Low Bb,0010110001000_1100101000,68,G# Without octave key (default),0010111000000_0000000000
2,68,61,Low C#,0010110100000_1100101000,79,G With octave key,1010110000000_0000000000
2,80,65,F Without octave key,0010110000000_1000000000,78,F# With octave key (main),1010110000000_0100000000
2,68,58,Low Bb,0010110001000_1100101000,78,F# With octave key (main),1010110000000_0100000000
2,101,71,B Without octave key,0010000000000_0000000000,80,G# With octave key (default),1010111000000_0000000000
2,84,79,G With octave key,1010110000000_0000000000,88,High E,1000000000011_0000000100
2,123,77,F With octave key,1010110000000_1000000000,82,Bb With octave key (Bis key),1011100000000_0000000000
2,80,63,Eb Without octave key,0010110000000_1100110000,76,E With octave key,1010110000000_1100000000
2,80,64,E Without octave key,0010110000000_1100000000,78,F# With octave key (Chromatic),1010110000000_1001000000
2,53,68,G# Without octave key (default),0010111000000_0000000000,82,Bb With octave key (Bis key),1011100000000_0000000000
2,111,66,F# Without octave key (main),0010110000000_0100000000,84,C With octave key,1000100000000_0000000000
2,49,59,Low B,0010110010000_1100101000,84,C With octave key,1000100000000_0000000000
2,68,59,Low B,0010110010000_1100101000,78,F# With octave key (main),1010110000000_0100000000
2,56,59,Low B,0010110010000_1100101000,61,Low C#,0010110100000_1100101000
2,-1,81,A With octave key,1010100000000_0000000000,88,High E,1000000000011_0000000100
3,124,75,Eb With octave key,1010110000000_1100110000,88,High E,1000000000011_0000000100
3,54,69,A Without octave key,0010100000000_0000000000,89,High F (side),1000000000111_0000000100
3,60,80,G# With octave key (default),1010111000000_0000000000,83,B With octave key,1010000000000_0000000000
3,60,82,Bb With octave key (Bis key),1011100000000_0000000000,85,C# With octave key,1000000000000_0000000000
3,144,59,Low B,0010110010000_1100101000,83,B With octave key,1010000000000_0000000000
3,104,59,Low B,0010110010000_1100101000,60,Low C,0010110000000_1100101000
3,65,62,D Without octave key,0010110000000_1100100000,87,High Eb,1000000000011_0000000000
3,18,60,Low C,0010110000000_1100101000,75,Eb With octave key,1010110000000_1100110000
3,126,59,Low B,0010110010000_1100101000,63,Eb Without octave key,0010110000000_1100110000
3,60,81,A With octave key,1010100000000_0000000000,84,C With octave key,1000100000000_0000000000
3,144,59,Low B,0010110010000_1100101000,82,Bb With octave key (Bis key),1011100000000_0000000000
3,99,80,G# With octave key (default),1010111000000_0000000000,89,High F (front),1100100000000_0000000000
3,54,70,Bb Without octave key (Bis key),0011100000000_0000000000,90,High F# (side),1000000000111_0010000100
3,147,70,Bb Without octave key (side key),0010100000000_0000000000,76,E With octave key,1010110000000_1100000000
3,-1,75,Eb With octave key,1010110000000_1100110000,77,F With octave key,1010110000000_1000000000
3,144,60,Low C,0010110000000_1100101000,84,C With octave key,1000100000000_0000000000
3,144,58,Low Bb,0010110001000_1100101000,82,Bb With octave key (Bis key),1011100000000_0000000000
3,76,74,D With octave key,1010110000000_1100100000,79,G With octave key,1010110000000_0000000000
3,37,78,F# With octave key (main),1010110000000_0100000000,90,High F# (side),1000000000111_0010000100
3,124,74,D With octave key,1010110000000_1100100000,88,High E,1000000000011_0000000100
3,-1,60,Low C,0010110000000_1100101000,65,F Without octave key,0010110000000_1000000000
3,147,71,B Without octave key,0010000000000_0000000000,77,F With octave key,1010110000000_1000000000
3,69,74,D With octave key,1010110000000_1100100000,82,Bb With octave key (side key),1010100000000_0000000001
3,104,61,Low C#,0010110100000_1100101000,62,D Without octave key,0010110000000_1100100000
3,124,74,D With octave key,1010110000000_1100100000,89,High F (side),1000000000111_0000000100
3,-1,67,G Without octave key,0010110000000_0000000000,68,G# Without octave key (default),0010111000000_0000000000
3,59,62,D Without octave key,0010110000000_1100100000,85,C# With octave key,1000000000000_0000000000
3,124,76,E With octave key,1010110000000_1100000000,90,High F# (side),1000000000111_0010000100
3,143,76,E With octave key,1010110000000_1100000000,83,B With octave key,1010000000000_0000000000
3,76,75,Eb With octave key,1010110000000_1100110000,80,G# With octave key (default),1010111000000_0000000000
3,37,76,E With octave key,1010110000000_1100000000,89,High F (side),1000000000111_0000000100
3,147,71,B Without octave key,0010000000000_0000000000,76,E With octave key,1010110000000_1100000000
3,1,61,Low C#,0010110100000_1100101000,82,Bb With octave key (Bis key),1011100000000_0000000000
3,104,60,Low C,0010110000000_1100101000,61,Low C#,0010110100000_1100101000
3,126,58,Low Bb,0010110001000_1100101000,63,Eb Without octave key,0010110000000_1100110000
3,37,77,F With octave key,1010110000000_1000000000,89,High F (side),1000000000111_0000000100
3,60,80,G# With octave key (default),1010111000000_0000000000,82,Bb With octave key (Bis key),1011100000000_0000000000
3,76,75,Eb With octave key,1010110000000_1100110000,79,G With octave key,1010110000000_0000000000
3,59,63,Eb Without octave key,0010110000000_1100110000,84,C With octave key,1000100000000_0000000000
3,65,62,D Without octave key,0010110000000_1100100000,86,High D,1000000000001_0000000000
3,147,72,C Without octave key,0000100000000_0000000000,78,F# With octave key (main),1010110000000_0100000000
3,69,75,Eb With octave key,1010110000000_1100110000,82,Bb With octave key (side key),1010100000000_0000000001
3,-1,62,D Without octave key,0010110000000_1100100000,74,D With octave key,1010110000000_1100100000
3,1,58,Low Bb,0010110001000_1100101000,79,G With octave key,1010110000000_0000000000
3,65,63,Eb Without octave key,0010110000000_1100110000,86,High D,1000000000001_0000000000
3,147,70,Bb Without octave key (Bis key),0011100000000_0000000000,76,E With octave key,1010110000000_1100000000
3,1,59,Low B,0010110010000_1100101000,81,A With octave key,1010100000000_0000000000
3,57,76,E With octave key,1010110000000_1100000000,89,High F (front),1100100000000_0000000000
3,124,75,Eb With octave key,1010110000000_1100110000,89,High F (side),1000000000111_0000000100
3,54,69,A Without octave key,0010100000000_0000000000,90,High F# (side),1000000000111_0010000100
3,99,81,A With octave key,1010100000000_0000000000,90,High F# (front),1100100000000_0010000000
3,1,60,Low C,0010110000000_1100101000,82,Bb With octave key (Bis key),1011100000000_0000000000
3,59,62,D Without octave key,0010110000000_1100100000,84,C With octave key,1000100000000_0000000000
3,54,70,Bb Without octave key (side key),0010100000000_0000000000,90,High F# (side),1000000000111_0010000100
3,37,76,E With octave key,1010110000000_1100000000,88,High E,1000000000011_0000000100
3,1,58,Low Bb,0010110001000_1100101000,81,A With octave key,1010100000000_0000000000
3,143,75,Eb With octave key,1010110000000_1100110000,82,Bb With octave key (Bis key),1011100000000_0000000000
3,65,64,E Without octave key,0010110000000_1100000000,87,High Eb,1000000000011_0000000000
3,99,82,Bb With octave key (Bis key),1011100000000_0000000000,90,High F# (front),1100100000000_0010000000
3,143,74,D With octave key,1010110000000_1100100000,82,Bb With octave key (Bis key),1011100000000_0000000000
3,76,75,Eb With octave key,1010110000000_1100110000,78,F# With octave key (main),1010110000000_0100000000
3,65,63,Eb Without octave key,0010110000000_1100110000,87,High Eb,1000000000011_0000000000
3,143,74,D With octave key,1010110000000_1100100000,81,A With octave key,1010100000000_0000000000
3,147,72,C Without octave key,0000100000000_0000000000,77,F With octave key,1010110000000_1000000000
3,147,72,C Without octave key,0000100000000_0000000000,78,F# With octave key (Chromatic),1010110000000_1001000000
3,57,78,F# With octave key (main),1010110000000_0100000000,90,High F# (front),1100100000000_0010000000
3,57,77,F With octave key,1010110000000_1000000000,90,High F# (front),1100100000000_0010000000
3,1,61,Low C#,0010110100000_1100101000,83,B With octave key,1010000000000_0000000000
3,37,77,F With octave key,1010110000000_1000000000,90,High F# (side),1000000000111_0010000100
3,59,63,Eb Without octave key,0010110000000_1100110000,85,C# With octave key,1000000000000_0000000000
3,99,81,A With octave key,1010100000000_0000000000,89,High F (front),1100100000000_0000000000
3,1,60,Low C,0010110000000_1100101000,81,A With octave key,1010100000000_0000000000
3,144,61,Low C#,0010110100000_1100101000,85,C# With octave key,1000000000000_0000000000
3,-1,81,A With octave key,1010100000000_0000000000,88,High E,1000000000011_0000000100
3,144,61,Low C#,0010110100000_1100101000,84,C With octave key,1000100000000_0000000000
3,104,58,Low Bb,0010110001000_1100101000,60,Low C,0010110000000_1100101000
3,18,61,Low C#,0010110100000_1100101000,75,Eb With octave key,1010110000000_1100110000
3,1,60,Low C,0010110000000_1100101000,83,B With octave key,1010000000000_0000000000
3,60,79,G With octave key,1010110000000_0000000000,82,Bb With octave key (Bis key),1011100000000_0000000000
4,14,82,Bb With octave key (side key),1010100000000_0000000001,84,C With octave key,1000100000000_0000000000
